id,codigo,nome,categoria,subcategoria,quantidade,unidade,valor_unitario
665fe3b8-ea06-46c8-bb92-d2d0fac237c2,GE-000003,CHAVE DE BOCA 10/8,Ferramentas,Manuais,1,un,0
ae68ef5e-3ce5-459b-91bb-7f33bf191964,GE-000006,CHAVE DE BOCA 12/13,Ferramentas,Manuais,1,un,0
87a7dabd-ae49-45a5-94ab-6114152e987a,GE-000008,CHAVE DE BOCA 15/10,Ferramentas,Manuais,1,un,0
27af5e61-5ae8-4e75-b05f-36f8c81b604e,GE-000007,CHAVE DE BOCA 16/17,Ferramentas,Manuais,1,un,0
660fe81c-6e5b-4ee6-9134-ee56e64c33da,GE-000002,CHAVE DE BOCA 17/14,Ferramentas,Manuais,2,un,0
bf857307-ee2e-46f4-8f3b-c0015f44874a,GE-000004,CHAVE DE BOCA 19/17,Ferramentas,Manuais,1,un,0
d877411a-fc3f-4d83-b63d-a30b809376a0,GE-000010,CHAVE DE BOCA 21/23,Ferramentas,Manuais,1,un,0
650c2670-780d-40da-93ec-c6e5967e220b,GE-000011,CHAVE DE BOCA 24/26,Ferramentas,Manuais,1,un,0
9a2cbe20-35b9-401c-a92f-d54c7920042f,GE-000009,CHAVE DE BOCA 28/25,Ferramentas,Manuais,2,un,0
226a9fab-29ae-49dc-aa36-767b23a19331,GE-000077,CHAVE DE BOCA/ESTRIA 1/16,Ferramentas,Manuais,1,un,0
f333707e-8f31-4f7c-ae1b-612c8f5f9aab,GE-000075,CHAVE DE BOCA/ESTRIA 1/2,Ferramentas,Manuais,3,un,0
9203bc2d-b74e-483c-9279-f15ce5c403c6,GE-000037,CHAVE DE BOCA/ESTRIA 10MM,Ferramentas,Manuais,2,un,0
e51e0d21-2b16-4bfd-a3af-14df708f03f3,GE-000038,CHAVE DE BOCA/ESTRIA 11MM,Ferramentas,Manuais,0,un,0
53c1032d-b34e-4cc6-8828-d15acf070eb9,GE-000039,CHAVE DE BOCA/ESTRIA 12MM,Ferramentas,Manuais,0,un,0
9894d631-fed1-4a9c-8136-7dc6dfe4cabf,GE-000040,CHAVE DE BOCA/ESTRIA 13MM,Ferramentas,Manuais,4,un,0
382c3e8a-aedc-4b60-ae46-7b5572965dcb,GE-000041,CHAVE DE BOCA/ESTRIA 14MM,Ferramentas,Manuais,2,un,0
7ded5644-9e82-4657-8733-567457ae6d77,GE-000042,CHAVE DE BOCA/ESTRIA 15MM,Ferramentas,Manuais,2,un,0
91dfbe67-62a7-48ae-b32f-19706490bc25,GE-000043,CHAVE DE BOCA/ESTRIA 16MM,Ferramentas,Manuais,0,un,0
4778499d-d58e-4dc4-a8b5-7c723bc57deb,GE-000044,CHAVE DE BOCA/ESTRIA 17MM,Ferramentas,Manuais,3,un,0
35c3bd0f-89e9-44cd-97be-c3fa1d6427fc,GE-000045,CHAVE DE BOCA/ESTRIA 18MM,Ferramentas,Manuais,1,un,0
6759c4ac-51cb-4a0d-b715-dc046889a9ca,GE-000046,CHAVE DE BOCA/ESTRIA 19MM,Ferramentas,Manuais,1,un,0
f33d1964-0718-46ef-8439-05fa26a6bce3,GE-000047,CHAVE DE BOCA/ESTRIA 20MM,Ferramentas,Manuais,0,un,0
1f2ffa4f-4694-4ed7-b317-68c01acfbda7,GE-000048,CHAVE DE BOCA/ESTRIA 21MM,Ferramentas,Manuais,0,un,0
deda2136-2131-44ab-b696-a4292d39eaff,GE-000049,CHAVE DE BOCA/ESTRIA 22MM,Ferramentas,Manuais,4,un,0
f9496bfb-022a-43ec-a446-ede08ab76309,GE-000050,CHAVE DE BOCA/ESTRIA 24MM,Ferramentas,Manuais,2,un,0
7406b09f-0b5b-416d-8a88-2bf953211fbe,GE-000076,CHAVE DE BOCA/ESTRIA 27MM,Ferramentas,Manuais,1,un,0
5d0dc4cf-759f-4890-901c-5272c70b3a73,GE-000073,CHAVE DE BOCA/ESTRIA 30MM,Ferramentas,Manuais,2,un,0
bf2fad1d-fffd-46ab-8824-d8944dddd607,GE-000072,CHAVE DE BOCA/ESTRIA 32MM,Ferramentas,Manuais,2,un,0
e7574387-a2b3-4c31-acf3-dc2eb9adb7d7,GE-000074,CHAVE DE BOCA/ESTRIA 7MM,Ferramentas,Manuais,1,un,0
3fa6675d-b6c8-4e2a-b8cb-eac885b1833a,GE-000035,CHAVE DE BOCA/ESTRIA 8MM,Ferramentas,Manuais,2,un,0
70fa8fe0-e208-4ba0-83fc-faf4aa8ddf99,GE-000036,CHAVE DE BOCA/ESTRIA 9MM,Ferramentas,Manuais,0,un,0
a724566b-9d98-4885-b3aa-ec87a34b6e25,GE-000104,CHAVE DE CANO 24,Ferramentas,Manuais,1,un,0
134dcad2-fdc2-45ef-a1f5-1a994a2b2143,GE-000053,CHAVE DE CATRACA 10MM,Ferramentas,Manuais,1,un,0
1168a343-c1d5-4df2-9cc4-b5054f2631b6,GE-000054,CHAVE DE CATRACA 11MM,Ferramentas,Manuais,1,un,0
d06541ab-64bc-494f-9141-ece6e2dcb188,GE-000055,CHAVE DE CATRACA 13MM,Ferramentas,Manuais,1,un,0
9df6fdbe-35e4-4ab5-ab5f-2cc0f8231d3b,GE-000059,CHAVE DE CATRACA 16MM,Ferramentas,Manuais,1,un,0
cf3aa123-9266-4798-b2ae-ce871acef5fa,GE-000056,CHAVE DE CATRACA 18MM,Ferramentas,Manuais,1,un,0
be794455-70cf-4dd5-b2c8-349af178fc85,GE-000060,CHAVE DE CATRACA 19MM,Ferramentas,Manuais,1,un,0
3a6ec8e3-59ff-482d-bf50-549b7f51ef6e,GE-000061,CHAVE DE CATRACA 20MM,Ferramentas,Manuais,1,un,0
4459bd3a-70db-4d17-8dde-7daf0011d769,GE-000057,CHAVE DE CATRACA 21MM,Ferramentas,Manuais,1,un,0
167ff5c3-3dbd-4dbb-be93-8579afe7858d,GE-000058,CHAVE DE CATRACA 24MM,Ferramentas,Manuais,1,un,0
da5832a3-e063-4f2a-9e1c-d5c726ea05fd,GE-000051,CHAVE DE CATRACA 8MM,Ferramentas,Manuais,1,un,0
12158779-38fa-4363-944f-b87c24db0180,GE-000052,CHAVE DE CATRACA 9MM,Ferramentas,Manuais,1,un,0
37a89e50-eb3f-4f6a-a319-c7f88c4e6bea,GE-000105,CHAVE DE REGULAGEM 14,Ferramentas,Manuais,1,un,0
db08af3a-318e-438c-b7d6-f17483d84660,GE-000016,CHAVE ESTRIA 15/14,Ferramentas,Manuais,2,un,0
6d5ba461-3194-474a-a6cc-bab39a9ab5c6,GE-000017,CHAVE ESTRIA 19/18,Ferramentas,Manuais,1,un,0
e98c7339-441e-4f07-a0c6-f0e3ca7492e5,GE-000018,CHAVE ESTRIA 20/22,Ferramentas,Manuais,1,un,0
af84a548-7a50-4cb2-a876-9da915025078,GE-000019,CHAVE ESTRIA 21/23,Ferramentas,Manuais,1,un,0
dae9457e-6582-4add-b9e0-73081e691a82,GE-000020,CHAVE ESTRIA 26/24,Ferramentas,Manuais,1,un,0
22248b39-aca1-46ac-b880-57418399c61a,GE-000021,CHAVE ESTRIA 27/32,Ferramentas,Manuais,1,un,0
a0afc361-179f-4a1e-95a6-d1988a77ca70,GE-000015,CHAVE ESTRIA 9/8,Ferramentas,Manuais,1,un,0
8b813fdd-7fd7-4c96-991d-3edc335db7b8,GE-000090,CHAVE FENDA,Ferramentas,Manuais,7,un,0
15673fc5-bccc-4004-bb23-70a74cbce32b,CHAVE-FIM-CURSO,Chave fim de curso,Painel elétrico,Chaves,0,un,0
0dd917fd-b2bf-42f0-955e-978f13c74653,GE-000013,CHAVE INGLESA 250/10,Ferramentas,Manuais,1,un,0
7cf1e636-7f02-491b-be11-19f96e6836a0,GE-000012,CHAVE INGLESA 300/12,Ferramentas,Manuais,1,un,0
e0085265-222b-44bf-9d24-c5b7548a570f,GE-000014,CHAVE INGLESA 450/18,Ferramentas,Manuais,1,un,0
0510d34c-64cb-482c-b91d-1d86f3b8b601,GE-000066,CHAVE L 10MM,Ferramentas,Manuais,3,un,0
cca574aa-21a8-40e5-a107-1087e03d2d47,GE-000067,CHAVE L 11MM,Ferramentas,Manuais,3,un,0
8b7ee04b-db13-42a5-98c3-4f21639836b5,GE-000068,CHAVE L 12MM,Ferramentas,Manuais,0,un,0
5f11876f-2d5f-4668-9012-a4d45791b501,GE-000069,CHAVE L 13MM,Ferramentas,Manuais,2,un,0
73942a81-cc2e-41b1-af2b-eb6a54ef18f5,GE-000070,CHAVE L 14MM,Ferramentas,Manuais,1,un,0
9c9fccec-1449-4a9b-a3d5-c1b892215ede,GE-000071,CHAVE L 15MM,Ferramentas,Manuais,0,un,0
bbf7e1a7-6442-4926-bf1d-fe57c128cf02,GE-000064,CHAVE L 6MM,Ferramentas,Manuais,0,un,0
